criterion,3853.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,212.0,278.0,1102.0,1155.0,1340.0,1364.0,1429.0,1511.0,1521.0,1554.0,2040.0,2927.0,3023.0,3093.0
job 1,90.0,164.0,264.0,352.0,462.0,697.0,775.0,851.0,1235.0,1429.0,1508.0,2526.0,2577.0,2595.0,2694.0
job 2,0.0,4.0,86.0,126.0,239.0,289.0,520.0,1055.0,3170.0,3224.0,3609.0,3691.0,3711.0,3750.0,3785.0
job 3,195.0,268.0,291.0,562.0,592.0,807.0,901.0,959.0,1052.0,1084.0,1175.0,1205.0,1452.0,1479.0,1986.0
job 4,117.0,195.0,218.0,239.0,299.0,432.0,501.0,596.0,695.0,774.0,1003.0,1190.0,1268.0,2141.0,2350.0
job 5,65.0,94.0,278.0,541.0,611.0,627.0,1548.0,1817.0,1900.0,1978.0,2004.0,2054.0,2141.0,2203.0,2217.0
job 6,0.0,155.0,244.0,264.0,403.0,494.0,562.0,627.0,1052.0,1137.0,1297.0,1340.0,1364.0,1401.0,1488.0
job 7,0.0,94.0,146.0,195.0,366.0,427.0,786.0,885.0,1291.0,2247.0,2330.0,2446.0,2526.0,2529.0,2586.0
job 8,299.0,402.0,592.0,695.0,786.0,1122.0,1209.0,1291.0,1374.0,1452.0,1521.0,1809.0,1817.0,1883.0,1971.0
job 9,289.0,343.0,402.0,596.0,656.0,1276.0,1488.0,1554.0,1643.0,1721.0,2004.0,2073.0,2118.0,2200.0,2206.0
job 10,0.0,90.0,519.0,799.0,964.0,1066.0,1146.0,1261.0,2200.0,2232.0,2260.0,2350.0,2443.0,2449.0,2484.0
job 11,0.0,47.0,155.0,427.0,792.0,843.0,846.0,930.0,964.0,992.0,1971.0,2073.0,2118.0,2185.0,2243.0
job 12,0.0,86.0,384.0,481.0,501.0,877.0,910.0,3093.0,3170.0,3220.0,3300.0,3348.0,3438.0,3513.0,3609.0
job 13,268.0,494.0,515.0,611.0,686.0,703.0,792.0,947.0,1003.0,1084.0,1205.0,1222.0,1643.0,3292.0,3299.0
job 14,481.0,538.0,554.0,843.0,877.0,1096.0,1122.0,1190.0,1263.0,1268.0,1900.0,2577.0,2727.0,2810.0,2830.0
