criterion,tensor(1243.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,165.0,210.0,263.0,409.0,512.0,577.0,743.0,758.0,785.0,878.0,970.0,1071.0,1154.0
job 1,175.0,327.0,390.0,508.0,581.0,665.0,756.0,764.0,771.0,872.0,959.0,979.0,1035.0,1055.0,1169.0
job 2,0.0,117.0,314.0,462.0,616.0,666.0,756.0,777.0,783.0,839.0,924.0,1012.0,1032.0,1093.0,1175.0
job 3,0.0,73.0,121.0,218.0,248.0,322.0,452.0,510.0,603.0,635.0,726.0,756.0,813.0,870.0,970.0
job 4,0.0,78.0,101.0,142.0,249.0,285.0,314.0,409.0,548.0,627.0,703.0,796.0,977.0,1029.0,1128.0
job 5,125.0,154.0,294.0,382.0,452.0,468.0,559.0,635.0,718.0,796.0,822.0,872.0,990.0,1052.0,1066.0
job 6,0.0,18.0,93.0,113.0,117.0,426.0,497.0,516.0,610.0,703.0,796.0,951.0,977.0,1078.0,1165.0
job 7,0.0,73.0,125.0,134.0,183.0,244.0,309.0,409.0,526.0,532.0,603.0,610.0,878.0,881.0,975.0
job 8,0.0,91.0,122.0,218.0,309.0,322.0,444.0,526.0,690.0,775.0,831.0,916.0,924.0,990.0,1078.0
job 9,0.0,32.0,91.0,121.0,215.0,256.0,279.0,345.0,434.0,512.0,626.0,768.0,858.0,940.0,1066.0
job 10,0.0,183.0,216.0,217.0,236.0,382.0,527.0,616.0,726.0,758.0,786.0,962.0,1055.0,1061.0,1096.0
job 11,0.0,49.0,134.0,244.0,252.0,303.0,306.0,390.0,424.0,452.0,512.0,581.0,690.0,1061.0,1119.0
job 12,154.0,256.0,318.0,424.0,444.0,494.0,527.0,560.0,638.0,695.0,822.0,870.0,960.0,1035.0,1131.0
job 13,0.0,28.0,90.0,141.0,219.0,303.0,392.0,516.0,627.0,718.0,960.0,982.0,1030.0,1053.0,1141.0
job 14,85.0,199.0,252.0,392.0,426.0,471.0,688.0,785.0,858.0,863.0,871.0,883.0,970.0,1096.0,1116.0
