criterion,4403.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,404.0,498.0,564.0,574.0,995.0,2160.0,2278.0,2343.0,2425.0,2435.0,2462.0,2555.0,2647.0,2743.0,2813.0
job 1,0.0,154.0,908.0,1906.0,2016.0,3343.0,3999.0,4007.0,4014.0,4105.0,4184.0,4202.0,4253.0,4271.0,4370.0
job 2,0.0,215.0,297.0,337.0,1825.0,1875.0,1929.0,1950.0,1956.0,2010.0,2359.0,2441.0,2461.0,3520.0,3988.0
job 3,29.0,102.0,337.0,374.0,404.0,913.0,1269.0,1327.0,1420.0,1452.0,1543.0,1573.0,1629.0,1656.0,1748.0
job 4,0.0,78.0,154.0,175.0,252.0,367.0,396.0,1957.0,2056.0,2135.0,3752.0,3845.0,3887.0,3939.0,3981.0
job 5,0.0,93.0,633.0,721.0,888.0,1420.0,1543.0,1608.0,1691.0,2989.0,3015.0,3065.0,3152.0,3214.0,3228.0
job 6,0.0,18.0,191.0,211.0,215.0,306.0,374.0,393.0,574.0,659.0,743.0,786.0,3229.0,3555.0,3642.0
job 7,0.0,102.0,154.0,211.0,572.0,633.0,883.0,982.0,1044.0,1050.0,1112.0,2024.0,2104.0,2107.0,2271.0
job 8,235.0,320.0,623.0,719.0,810.0,1748.0,2078.0,2743.0,2826.0,2904.0,3258.0,3343.0,3351.0,3417.0,3505.0
job 9,149.0,154.0,213.0,243.0,303.0,896.0,1950.0,2104.0,2193.0,2271.0,3683.0,3848.0,4056.0,4138.0,4144.0
job 10,74.0,164.0,191.0,192.0,344.0,1656.0,1736.0,1825.0,1874.0,1906.0,1934.0,2896.0,2989.0,2995.0,3030.0
job 11,303.0,350.0,393.0,564.0,572.0,623.0,627.0,732.0,1112.0,1140.0,1200.0,1269.0,2193.0,2260.0,2318.0
job 12,185.0,344.0,626.0,723.0,1021.0,1052.0,1200.0,3152.0,3505.0,3555.0,3635.0,3683.0,3773.0,3848.0,3944.0
job 13,0.0,28.0,201.0,252.0,327.0,719.0,808.0,3845.0,3901.0,3964.0,3982.0,3999.0,4077.0,4093.0,4100.0
job 14,0.0,57.0,73.0,115.0,164.0,201.0,327.0,810.0,883.0,888.0,896.0,908.0,1769.0,1852.0,1956.0
