criterion,tensor(1266.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,146.0,208.0,267.0,347.0,441.0,512.0,537.0,635.0,684.0,742.0,853.0,1086.0,1107.0
job 1,0.0,68.0,96.0,146.0,182.0,339.0,432.0,512.0,540.0,605.0,811.0,876.0,887.0,943.0,1133.0
job 2,0.0,33.0,100.0,208.0,350.0,464.0,545.0,605.0,693.0,713.0,887.0,909.0,1052.0,1090.0,1165.0
job 3,86.0,235.0,277.0,350.0,438.0,482.0,498.0,576.0,649.0,713.0,781.0,942.0,1107.0,1192.0,1199.0
job 4,0.0,93.0,145.0,275.0,288.0,307.0,392.0,463.0,522.0,551.0,876.0,961.0,1060.0,1133.0,1228.0
job 5,0.0,62.0,122.0,234.0,312.0,322.0,394.0,482.0,598.0,656.0,771.0,874.0,943.0,1025.0,1108.0
job 6,65.0,166.0,374.0,464.0,507.0,551.0,559.0,567.0,611.0,685.0,775.0,904.0,1024.0,1101.0,1186.0
job 7,0.0,128.0,259.0,441.0,590.0,656.0,747.0,768.0,769.0,865.0,884.0,943.0,955.0,996.0,1007.0
job 8,249.0,346.0,407.0,553.0,590.0,681.0,771.0,834.0,874.0,961.0,974.0,996.0,1085.0,1170.0,1194.0
job 9,11.0,16.0,51.0,332.0,431.0,567.0,635.0,673.0,771.0,834.0,907.0,983.0,1077.0,1108.0,1228.0
job 10,200.0,235.0,277.0,339.0,407.0,480.0,507.0,559.0,608.0,649.0,691.0,700.0,734.0,784.0,1094.0
job 11,60.0,83.0,463.0,498.0,508.0,540.0,653.0,693.0,701.0,759.0,865.0,904.0,983.0,991.0,1024.0
job 12,0.0,28.0,62.0,100.0,134.0,200.0,259.0,283.0,348.0,498.0,506.0,700.0,1060.0,1062.0,1090.0
job 13,0.0,115.0,208.0,288.0,351.0,462.0,523.0,546.0,608.0,747.0,811.0,884.0,990.0,1112.0,1194.0
job 14,0.0,68.0,166.0,204.0,228.0,312.0,359.0,431.0,432.0,523.0,768.0,981.0,1032.0,1052.0,1082.0
