criterion,tensor(1231.)
optimal,True

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,215.0,404.0,468.0,503.0,518.0,583.0,677.0,746.0,791.0,884.0,976.0,1072.0,1148.0
job 1,0.0,157.0,188.0,572.0,629.0,687.0,776.0,784.0,791.0,882.0,961.0,979.0,1030.0,1049.0,1153.0
job 2,0.0,315.0,397.0,586.0,672.0,722.0,776.0,797.0,803.0,857.0,925.0,1007.0,1027.0,1073.0,1108.0
job 3,84.0,181.0,204.0,234.0,264.0,336.0,434.0,492.0,585.0,623.0,784.0,814.0,870.0,957.0,1204.0
job 4,0.0,78.0,101.0,142.0,225.0,261.0,290.0,408.0,507.0,586.0,697.0,797.0,977.0,1029.0,1108.0
job 5,0.0,93.0,276.0,364.0,434.0,450.0,507.0,617.0,700.0,790.0,816.0,866.0,1101.0,1163.0,1177.0
job 6,0.0,18.0,93.0,113.0,117.0,438.0,506.0,525.0,592.0,803.0,925.0,968.0,992.0,1029.0,1163.0
job 7,0.0,32.0,84.0,113.0,165.0,226.0,309.0,435.0,497.0,503.0,585.0,592.0,884.0,887.0,1057.0
job 8,0.0,91.0,122.0,218.0,309.0,322.0,518.0,662.0,745.0,823.0,879.0,1007.0,1015.0,1116.0,1213.0
job 9,0.0,32.0,91.0,121.0,181.0,222.0,261.0,327.0,417.0,495.0,583.0,897.0,942.0,1066.0,1072.0
job 10,125.0,276.0,327.0,328.0,336.0,427.0,539.0,628.0,714.0,746.0,774.0,864.0,971.0,977.0,1080.0
job 11,0.0,49.0,93.0,226.0,264.0,317.0,320.0,427.0,461.0,497.0,560.0,652.0,697.0,1029.0,1087.0
job 12,188.0,253.0,320.0,417.0,437.0,506.0,557.0,590.0,686.0,736.0,816.0,864.0,954.0,1029.0,1176.0
job 13,0.0,28.0,74.0,125.0,253.0,349.0,438.0,525.0,672.0,877.0,954.0,1027.0,1057.0,1073.0,1142.0
job 14,85.0,142.0,234.0,315.0,349.0,409.0,492.0,773.0,846.0,857.0,865.0,877.0,968.0,1081.0,1101.0
