criterion,5419.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,339.0,527.0,537.0,590.0,1014.0,1230.0,1295.0,1400.0,1410.0,1437.0,1530.0,1622.0,3717.0,3989.0
job 1,90.0,271.0,302.0,1437.0,1711.0,1768.0,1846.0,1854.0,1861.0,1952.0,2031.0,2305.0,3517.0,3890.0,3989.0
job 2,0.0,155.0,237.0,493.0,579.0,738.0,1622.0,1718.0,1724.0,1778.0,1846.0,1928.0,1948.0,1987.0,2589.0
job 3,65.0,138.0,161.0,316.0,516.0,569.0,4283.0,4341.0,4434.0,4466.0,4557.0,4587.0,4643.0,4670.0,4762.0
job 4,0.0,237.0,435.0,456.0,537.0,1530.0,1559.0,4557.0,4752.0,4831.0,4907.0,5000.0,5042.0,5281.0,5323.0
job 5,242.0,271.0,405.0,4213.0,4283.0,4299.0,4892.0,4957.0,5040.0,5118.0,5144.0,5194.0,5281.0,5343.0,5357.0
job 6,1340.0,2356.0,2431.0,2451.0,2455.0,2546.0,2614.0,2633.0,2687.0,2772.0,4022.0,4065.0,4089.0,4126.0,4213.0
job 7,158.0,190.0,242.0,251.0,579.0,640.0,675.0,926.0,1008.0,1014.0,1076.0,1083.0,1163.0,1166.0,1223.0
job 8,0.0,190.0,220.0,316.0,826.0,839.0,926.0,1008.0,1262.0,1987.0,2043.0,2128.0,2136.0,2202.0,2290.0
job 9,94.0,99.0,191.0,221.0,297.0,663.0,3036.0,3148.0,3237.0,3315.0,3403.0,3472.0,3517.0,3599.0,3605.0
job 10,0.0,390.0,417.0,839.0,1091.0,1182.0,1262.0,1351.0,3599.0,3631.0,3659.0,3749.0,4677.0,4683.0,4718.0
job 11,161.0,2546.0,2589.0,2664.0,2672.0,2723.0,2726.0,2845.0,2879.0,2907.0,2967.0,3036.0,3081.0,3148.0,3206.0
job 12,0.0,65.0,127.0,281.0,332.0,629.0,1861.0,2049.0,3102.0,3605.0,3842.0,4587.0,4677.0,4752.0,4848.0
job 13,127.0,155.0,176.0,227.0,302.0,346.0,435.0,553.0,640.0,703.0,721.0,738.0,768.0,784.0,791.0
job 14,224.0,281.0,297.0,456.0,490.0,527.0,1643.0,3631.0,3704.0,3709.0,3717.0,3749.0,3836.0,3919.0,3939.0
