criterion,tensor(1259.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,112.0,291.0,333.0,416.0,481.0,575.0,646.0,671.0,775.0,831.0,874.0,926.0,1145.0,1166.0
job 1,0.0,68.0,128.0,172.0,256.0,392.0,427.0,464.0,492.0,568.0,679.0,744.0,755.0,844.0,1117.0
job 2,0.0,33.0,100.0,207.0,298.0,427.0,508.0,658.0,746.0,782.0,874.0,896.0,1069.0,1107.0,1147.0
job 3,86.0,166.0,208.0,344.0,432.0,461.0,477.0,555.0,646.0,766.0,834.0,979.0,1087.0,1145.0,1152.0
job 4,35.0,128.0,180.0,243.0,256.0,275.0,345.0,416.0,475.0,651.0,846.0,931.0,1044.0,1117.0,1212.0
job 5,0.0,62.0,122.0,234.0,250.0,301.0,373.0,461.0,530.0,588.0,629.0,782.0,879.0,1016.0,1157.0
job 6,65.0,166.0,243.0,432.0,466.0,510.0,515.0,556.0,581.0,651.0,704.0,882.0,1025.0,1087.0,1180.0
job 7,0.0,128.0,192.0,349.0,508.0,588.0,679.0,704.0,705.0,801.0,820.0,879.0,914.0,955.0,966.0
job 8,180.0,299.0,391.0,571.0,627.0,718.0,808.0,871.0,911.0,979.0,992.0,1017.0,1100.0,1161.0,1185.0
job 9,11.0,77.0,115.0,285.0,299.0,456.0,586.0,657.0,755.0,834.0,910.0,986.0,1080.0,1099.0,1212.0
job 10,0.0,35.0,77.0,139.0,218.0,291.0,318.0,463.0,520.0,561.0,654.0,671.0,705.0,755.0,1152.0
job 11,60.0,83.0,250.0,285.0,418.0,492.0,608.0,650.0,711.0,769.0,831.0,870.0,902.0,992.0,1025.0
job 12,0.0,28.0,62.0,100.0,273.0,339.0,447.0,475.0,523.0,906.0,931.0,975.0,1030.0,1045.0,1127.0
job 13,0.0,298.0,391.0,418.0,510.0,604.0,627.0,650.0,705.0,782.0,846.0,906.0,1008.0,1080.0,1185.0
job 14,0.0,68.0,180.0,218.0,260.0,344.0,391.0,464.0,465.0,561.0,824.0,1003.0,1107.0,1127.0,1229.0
