criterion,6533.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,2311.0,3370.0,3380.0,3439.0,3504.0,3598.0,3669.0,3694.0,3792.0,3841.0,3884.0,3892.0,3982.0,4003.0
job 1,227.0,295.0,750.0,2275.0,3115.0,3208.0,3243.0,3280.0,3308.0,3370.0,3456.0,3521.0,3532.0,3552.0,3634.0
job 2,0.0,33.0,100.0,221.0,2192.0,2665.0,2746.0,2806.0,2894.0,2914.0,2976.0,2998.0,3077.0,3115.0,3155.0
job 3,86.0,916.0,5831.0,5904.0,5992.0,6016.0,6032.0,6110.0,6180.0,6233.0,6301.0,6374.0,6464.0,6522.0,6529.0
job 4,953.0,1046.0,1222.0,1285.0,1298.0,1317.0,1423.0,1494.0,1553.0,2371.0,4003.0,4088.0,4187.0,4260.0,4355.0
job 5,159.0,221.0,281.0,997.0,1013.0,1127.0,1199.0,1287.0,2083.0,2283.0,2324.0,2381.0,2444.0,2520.0,2603.0
job 6,109.0,159.0,5063.0,5547.0,5679.0,5723.0,5728.0,5736.0,5761.0,5831.0,5884.0,5962.0,6054.0,6116.0,6201.0
job 7,4740.0,4800.0,4864.0,4956.0,5000.0,5063.0,5154.0,5175.0,5176.0,5272.0,5291.0,5350.0,5362.0,5403.0,5414.0
job 8,823.0,916.0,962.0,1316.0,1679.0,1770.0,1860.0,1923.0,1963.0,2031.0,2044.0,2060.0,2143.0,2603.0,2627.0
job 9,0.0,2496.0,3671.0,3692.0,4088.0,4154.0,4260.0,4266.0,4364.0,4427.0,4491.0,4567.0,4661.0,4678.0,4740.0
job 10,788.0,823.0,1353.0,1415.0,1496.0,1860.0,1887.0,2044.0,2083.0,2124.0,2149.0,2158.0,2192.0,2242.0,2283.0
job 11,835.0,858.0,962.0,997.0,1098.0,1127.0,1195.0,1215.0,5291.0,5414.0,5476.0,5515.0,5547.0,5555.0,5588.0
job 12,0.0,1285.0,1316.0,1319.0,1347.0,1413.0,1472.0,1553.0,1598.0,1679.0,1687.0,1731.0,1773.0,2431.0,3598.0
job 13,5.0,16.0,109.0,136.0,195.0,374.0,930.0,1215.0,1222.0,1299.0,1363.0,5904.0,6001.0,6037.0,6233.0
job 14,0.0,295.0,393.0,431.0,455.0,539.0,586.0,658.0,659.0,750.0,1013.0,2454.0,3651.0,3671.0,3701.0
