criterion,tensor(1254.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,172.0,182.0,321.0,454.0,548.0,619.0,644.0,742.0,791.0,895.0,921.0,1129.0,1150.0
job 1,134.0,202.0,230.0,268.0,317.0,411.0,446.0,500.0,528.0,596.0,685.0,750.0,791.0,839.0,1119.0
job 2,0.0,33.0,100.0,212.0,304.0,446.0,536.0,596.0,684.0,777.0,896.0,918.0,1069.0,1107.0,1172.0
job 3,86.0,128.0,146.0,290.0,422.0,467.0,483.0,561.0,646.0,704.0,801.0,979.0,1071.0,1129.0,1136.0
job 4,35.0,182.0,241.0,304.0,317.0,446.0,487.0,587.0,682.0,701.0,761.0,911.0,1010.0,1118.0,1213.0
job 5,0.0,62.0,122.0,237.0,280.0,307.0,379.0,467.0,536.0,607.0,669.0,715.0,908.0,1011.0,1094.0
job 6,65.0,253.0,321.0,411.0,483.0,527.0,532.0,540.0,565.0,635.0,699.0,803.0,919.0,981.0,1107.0
job 7,0.0,128.0,192.0,410.0,527.0,594.0,685.0,706.0,707.0,830.0,849.0,908.0,979.0,1020.0,1066.0
job 8,268.0,386.0,432.0,590.0,627.0,718.0,808.0,871.0,911.0,981.0,994.0,1010.0,1093.0,1156.0,1180.0
job 9,0.0,5.0,40.0,432.0,461.0,621.0,624.0,630.0,772.0,835.0,899.0,975.0,1069.0,1094.0,1213.0
job 10,0.0,40.0,82.0,144.0,234.0,343.0,370.0,422.0,461.0,502.0,527.0,644.0,678.0,728.0,1138.0
job 11,60.0,83.0,202.0,237.0,403.0,432.0,728.0,764.0,772.0,834.0,903.0,942.0,975.0,994.0,1027.0
job 12,0.0,28.0,62.0,100.0,142.0,284.0,379.0,403.0,540.0,631.0,1027.0,1093.0,1136.0,1142.0,1177.0
job 13,5.0,303.0,432.0,548.0,607.0,718.0,741.0,764.0,778.0,855.0,919.0,979.0,1083.0,1119.0,1180.0
job 14,0.0,36.0,134.0,172.0,196.0,280.0,327.0,399.0,400.0,502.0,587.0,655.0,697.0,771.0,871.0
