criterion,5298.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,530.0,1393.0,1610.0,2065.0,2159.0,3434.0,3459.0,3557.0,3606.0,4308.0,4316.0,4455.0,4476.0
job 1,0.0,160.0,849.0,887.0,923.0,1016.0,1051.0,1088.0,1116.0,1178.0,1264.0,1329.0,1340.0,2694.0,2776.0
job 2,0.0,124.0,191.0,287.0,1966.0,2049.0,2130.0,2190.0,3580.0,4128.0,4190.0,4380.0,4525.0,4563.0,4603.0
job 3,216.0,2278.0,2292.0,2365.0,2453.0,2477.0,2493.0,2571.0,2641.0,2694.0,2762.0,2835.0,2925.0,2983.0,2990.0
job 4,0.0,93.0,308.0,371.0,1897.0,1916.0,2641.0,3309.0,3368.0,3911.0,4370.0,4455.0,4554.0,4627.0,4722.0
job 5,143.0,205.0,265.0,1594.0,1727.0,1737.0,1809.0,1897.0,1966.0,2024.0,3346.0,3392.0,3455.0,3531.0,3614.0
job 6,0.0,150.0,218.0,409.0,758.0,802.0,807.0,3741.0,3841.0,3997.0,4050.0,4216.0,4308.0,4370.0,4455.0
job 7,0.0,60.0,124.0,326.0,2933.0,2996.0,3136.0,3247.0,3248.0,3344.0,3363.0,3422.0,3434.0,3475.0,3486.0
job 8,93.0,492.0,538.0,3676.0,3713.0,3804.0,3894.0,3957.0,3997.0,4065.0,4078.0,4094.0,4177.0,4406.0,4455.0
job 9,265.0,270.0,305.0,538.0,552.0,618.0,638.0,2835.0,2933.0,2996.0,3060.0,3136.0,3230.0,3247.0,3309.0
job 10,186.0,4226.0,4268.0,4741.0,4809.0,4882.0,4909.0,4961.0,5000.0,5041.0,5066.0,5075.0,5109.0,5159.0,5200.0
job 11,60.0,83.0,115.0,150.0,160.0,189.0,3713.0,3733.0,3741.0,3804.0,4177.0,4216.0,4248.0,4256.0,4289.0
job 12,0.0,28.0,378.0,381.0,409.0,475.0,540.0,1852.0,1957.0,2038.0,2046.0,2190.0,2232.0,2234.0,2257.0
job 13,0.0,50.0,189.0,216.0,1088.0,1340.0,1363.0,1386.0,1393.0,1470.0,1534.0,1594.0,1691.0,1727.0,1780.0
job 14,358.0,394.0,492.0,530.0,554.0,638.0,685.0,757.0,758.0,849.0,934.0,3799.0,4065.0,4085.0,4115.0
