criterion,tensor(1231.)
optimal,True

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,215.0,242.0,468.0,519.0,534.0,600.0,682.0,746.0,785.0,878.0,970.0,1066.0,1148.0
job 1,0.0,239.0,404.0,507.0,595.0,692.0,770.0,778.0,785.0,876.0,955.0,973.0,1029.0,1049.0,1167.0
job 2,0.0,117.0,290.0,364.0,628.0,682.0,770.0,791.0,797.0,851.0,931.0,1013.0,1033.0,1072.0,1107.0
job 3,84.0,181.0,204.0,234.0,264.0,322.0,416.0,482.0,583.0,623.0,736.0,770.0,826.0,957.0,1049.0
job 4,0.0,78.0,101.0,122.0,225.0,261.0,290.0,408.0,530.0,609.0,697.0,791.0,954.0,1016.0,1107.0
job 5,0.0,93.0,234.0,328.0,398.0,414.0,558.0,623.0,706.0,790.0,816.0,866.0,997.0,1059.0,1073.0
job 6,0.0,18.0,93.0,113.0,117.0,438.0,527.0,546.0,609.0,694.0,784.0,955.0,979.0,1016.0,1114.0
job 7,0.0,32.0,84.0,113.0,165.0,226.0,309.0,409.0,534.0,540.0,602.0,609.0,878.0,881.0,1033.0
job 8,0.0,91.0,122.0,218.0,309.0,322.0,437.0,519.0,672.0,782.0,838.0,923.0,931.0,1103.0,1203.0
job 9,0.0,32.0,91.0,121.0,199.0,240.0,262.0,328.0,417.0,495.0,583.0,750.0,846.0,928.0,1066.0
job 10,125.0,215.0,261.0,262.0,270.0,450.0,539.0,628.0,714.0,746.0,774.0,864.0,1006.0,1059.0,1094.0
job 11,0.0,49.0,93.0,226.0,264.0,317.0,320.0,404.0,438.0,466.0,526.0,652.0,697.0,1012.0,1072.0
job 12,157.0,256.0,320.0,417.0,437.0,506.0,539.0,572.0,652.0,702.0,816.0,864.0,954.0,1029.0,1175.0
job 13,0.0,28.0,74.0,125.0,222.0,315.0,404.0,471.0,609.0,706.0,778.0,979.0,1024.0,1041.0,1136.0
job 14,182.0,240.0,322.0,404.0,445.0,546.0,702.0,773.0,846.0,851.0,859.0,871.0,958.0,1094.0,1114.0
