criterion,9371.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,94.0,160.0,453.0,506.0,1977.0,2249.0,2314.0,2396.0,2509.0,2536.0,2629.0,2721.0,2817.0,2887.0
job 1,260.0,334.0,365.0,453.0,504.0,561.0,875.0,972.0,979.0,1070.0,1149.0,1167.0,1218.0,1236.0,1841.0
job 2,2970.0,2974.0,3056.0,3096.0,3182.0,3232.0,3286.0,3307.0,3313.0,3367.0,3435.0,3517.0,3537.0,3576.0,3611.0
job 3,6539.0,7031.0,7256.0,7286.0,7316.0,7369.0,7463.0,7521.0,7614.0,7646.0,7737.0,7767.0,7823.0,7850.0,7942.0
job 4,3566.0,3908.0,4055.0,4076.0,4136.0,4172.0,4201.0,4296.0,4395.0,4474.0,4550.0,4643.0,4685.0,4737.0,4779.0
job 5,6510.0,6539.0,6600.0,6688.0,6758.0,6774.0,6805.0,6870.0,6953.0,7031.0,7057.0,7107.0,7194.0,7256.0,7270.0
job 6,160.0,178.0,506.0,639.0,643.0,734.0,802.0,821.0,875.0,960.0,1934.0,2225.0,2249.0,2286.0,2373.0
job 7,3286.0,3318.0,3370.0,3517.0,3566.0,3627.0,3679.0,3778.0,3840.0,3846.0,3908.0,3915.0,3995.0,3998.0,4055.0
job 8,5109.0,5194.0,5224.0,5320.0,5411.0,5424.0,5511.0,5593.0,5676.0,5754.0,5810.0,5895.0,5903.0,5969.0,6057.0
job 9,94.0,883.0,942.0,1874.0,1934.0,1975.0,1992.0,2058.0,2147.0,2225.0,2313.0,2382.0,2427.0,2509.0,2515.0
job 10,170.0,526.0,561.0,1167.0,1175.0,1266.0,1346.0,1435.0,1484.0,1516.0,1544.0,1634.0,1727.0,1733.0,1768.0
job 11,8002.0,8659.0,8702.0,8777.0,8785.0,8836.0,8839.0,8923.0,8957.0,8985.0,9045.0,9114.0,9159.0,9226.0,9284.0
job 12,6612.0,7823.0,7885.0,7982.0,8002.0,8033.0,8066.0,8099.0,8176.0,8226.0,8306.0,8354.0,8444.0,8519.0,8615.0
job 13,3931.0,4395.0,4416.0,4685.0,4760.0,4777.0,4866.0,4925.0,4981.0,5044.0,5062.0,5079.0,5109.0,5125.0,5132.0
job 14,5194.0,5895.0,5911.0,5953.0,5987.0,6024.0,6057.0,6125.0,6198.0,6203.0,6211.0,6223.0,6310.0,6393.0,6413.0
