criterion,tensor(1250.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,215.0,386.0,439.0,465.0,511.0,576.0,675.0,685.0,712.0,805.0,897.0,1076.0,1167.0
job 1,0.0,94.0,125.0,313.0,429.0,486.0,564.0,572.0,699.0,790.0,869.0,897.0,948.0,976.0,1125.0
job 2,0.0,211.0,417.0,471.0,649.0,699.0,753.0,794.0,800.0,854.0,933.0,1015.0,1035.0,1074.0,1109.0
job 3,199.0,272.0,295.0,418.0,458.0,511.0,613.0,682.0,775.0,812.0,942.0,972.0,1028.0,1075.0,1205.0
job 4,0.0,131.0,211.0,239.0,299.0,335.0,364.0,463.0,562.0,645.0,764.0,897.0,982.0,1034.0,1109.0
job 5,65.0,94.0,175.0,359.0,429.0,455.0,562.0,627.0,710.0,857.0,893.0,943.0,1034.0,1198.0,1212.0
job 6,0.0,18.0,93.0,127.0,131.0,283.0,351.0,370.0,486.0,721.0,794.0,869.0,895.0,939.0,1141.0
job 7,115.0,147.0,199.0,213.0,263.0,324.0,364.0,483.0,562.0,613.0,675.0,817.0,1138.0,1141.0,1198.0
job 8,0.0,85.0,115.0,222.0,313.0,370.0,480.0,562.0,645.0,775.0,831.0,925.0,933.0,1026.0,1214.0
job 9,0.0,5.0,64.0,94.0,154.0,208.0,225.0,291.0,380.0,458.0,546.0,966.0,1011.0,1093.0,1099.0
job 10,125.0,262.0,291.0,292.0,300.0,391.0,471.0,564.0,627.0,659.0,727.0,883.0,976.0,999.0,1158.0
job 11,0.0,49.0,92.0,167.0,232.0,299.0,302.0,391.0,425.0,457.0,544.0,615.0,660.0,1034.0,1099.0
job 12,0.0,65.0,142.0,239.0,259.0,351.0,384.0,417.0,494.0,571.0,660.0,753.0,843.0,1015.0,1177.0
job 13,0.0,28.0,74.0,125.0,272.0,560.0,649.0,708.0,764.0,907.0,925.0,943.0,1035.0,1118.0,1146.0
job 14,85.0,195.0,324.0,384.0,418.0,457.0,671.0,739.0,843.0,887.0,895.0,948.0,1035.0,1118.0,1138.0
