criterion,tensor(1242.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,5.0,99.0,165.0,175.0,238.0,319.0,361.0,544.0,696.0,728.0,755.0,848.0,940.0,1084.0,1159.0
job 1,0.0,117.0,228.0,408.0,459.0,569.0,647.0,655.0,679.0,770.0,858.0,876.0,929.0,966.0,1097.0
job 2,0.0,222.0,304.0,374.0,629.0,710.0,777.0,798.0,804.0,858.0,926.0,1008.0,1028.0,1081.0,1156.0
job 3,217.0,296.0,344.0,459.0,504.0,557.0,651.0,738.0,831.0,863.0,954.0,984.0,1040.0,1067.0,1212.0
job 4,0.0,78.0,101.0,276.0,336.0,374.0,403.0,526.0,625.0,704.0,780.0,940.0,990.0,1042.0,1116.0
job 5,148.0,177.0,244.0,344.0,414.0,430.0,461.0,592.0,675.0,754.0,849.0,899.0,986.0,1048.0,1062.0
job 6,0.0,18.0,93.0,113.0,117.0,391.0,471.0,490.0,653.0,804.0,926.0,969.0,993.0,1030.0,1169.0
job 7,0.0,65.0,117.0,126.0,175.0,236.0,309.0,409.0,498.0,507.0,646.0,653.0,733.0,770.0,1028.0
job 8,0.0,91.0,122.0,218.0,309.0,322.0,504.0,586.0,704.0,831.0,887.0,1008.0,1048.0,1117.0,1221.0
job 9,0.0,32.0,91.0,121.0,181.0,222.0,271.0,337.0,426.0,504.0,592.0,782.0,954.0,1067.0,1073.0
job 10,175.0,316.0,343.0,344.0,352.0,460.0,540.0,647.0,696.0,740.0,768.0,873.0,984.0,1134.0,1169.0
job 11,0.0,49.0,126.0,236.0,307.0,358.0,361.0,445.0,479.0,507.0,567.0,661.0,1014.0,1081.0,1139.0
job 12,0.0,117.0,179.0,276.0,296.0,358.0,403.0,436.0,516.0,566.0,706.0,764.0,854.0,1016.0,1112.0
job 13,0.0,28.0,74.0,125.0,200.0,218.0,436.0,495.0,551.0,675.0,693.0,710.0,740.0,1130.0,1154.0
job 14,85.0,304.0,332.0,489.0,523.0,560.0,709.0,777.0,854.0,876.0,884.0,927.0,1014.0,1114.0,1134.0
