criterion,8940.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,86.0,146.0,156.0,215.0,280.0,374.0,1226.0,1251.0,1349.0,1862.0,2570.0,2578.0,2668.0,2689.0
job 1,280.0,1251.0,1351.0,1409.0,1445.0,1538.0,1573.0,1610.0,1638.0,1700.0,1786.0,1851.0,2023.0,2231.0,2313.0
job 2,445.0,478.0,545.0,641.0,732.0,815.0,896.0,956.0,1044.0,1064.0,1929.0,1951.0,2030.0,2068.0,2108.0
job 3,86.0,1044.0,1058.0,1131.0,1905.0,1929.0,1945.0,2108.0,2178.0,2231.0,2299.0,2372.0,2462.0,2520.0,2527.0
job 4,2890.0,4013.0,4065.0,4128.0,4141.0,4160.0,4201.0,4272.0,4331.0,4350.0,4410.0,4495.0,4594.0,4667.0,4762.0
job 5,6190.0,7018.0,7078.0,7171.0,7187.0,7197.0,7269.0,7357.0,7426.0,7484.0,7525.0,7571.0,7634.0,7710.0,7793.0
job 6,6140.0,6451.0,6519.0,6609.0,6643.0,6687.0,6692.0,6700.0,6725.0,6795.0,6848.0,6926.0,7018.0,7080.0,7165.0
job 7,4331.0,4667.0,4762.0,4854.0,4898.0,4961.0,5052.0,5073.0,5074.0,5170.0,5189.0,5248.0,5260.0,5301.0,5312.0
job 8,2797.0,3319.0,3365.0,3416.0,3453.0,3544.0,3634.0,3697.0,3737.0,3805.0,3818.0,3834.0,3917.0,3966.0,3990.0
job 9,7078.0,7426.0,7525.0,7546.0,7560.0,7626.0,7629.0,7855.0,7953.0,8016.0,8080.0,8156.0,8250.0,8267.0,8329.0
job 10,2762.0,2797.0,2839.0,2901.0,2969.0,3042.0,3069.0,3121.0,3160.0,3201.0,3226.0,3235.0,3269.0,3319.0,3360.0
job 11,1126.0,1149.0,1181.0,1216.0,1226.0,1255.0,1323.0,1343.0,1351.0,1409.0,2531.0,2570.0,2602.0,2610.0,2643.0
job 12,6078.0,6106.0,6137.0,6140.0,6168.0,6234.0,6293.0,6317.0,6362.0,6443.0,6451.0,6495.0,6537.0,6539.0,6562.0
job 13,7083.0,8156.0,8249.0,8276.0,8366.0,8428.0,8451.0,8474.0,8481.0,8558.0,8622.0,8682.0,8779.0,8815.0,8868.0
job 14,5312.0,5348.0,5446.0,5484.0,5508.0,5592.0,5639.0,5711.0,5712.0,5803.0,5888.0,5956.0,5998.0,6018.0,6048.0
