criterion,tensor(1235.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,0.0,69.0,220.0,301.0,390.0,473.0,476.0,514.0,576.0,711.0,781.0,914.0,1028.0,1031.0,1043.0
job 1,0.0,171.0,234.0,281.0,374.0,473.0,549.0,619.0,662.0,720.0,814.0,840.0,870.0,894.0,1059.0
job 2,0.0,62.0,109.0,202.0,256.0,298.0,376.0,447.0,556.0,618.0,651.0,695.0,766.0,1112.0,1121.0
job 3,0.0,33.0,115.0,195.0,225.0,321.0,376.0,523.0,576.0,684.0,739.0,795.0,805.0,897.0,900.0
job 4,135.0,171.0,220.0,404.0,463.0,532.0,604.0,623.0,688.0,725.0,782.0,856.0,867.0,983.0,1197.0
job 5,0.0,83.0,245.0,251.0,292.0,379.0,473.0,543.0,639.0,751.0,781.0,840.0,1018.0,1050.0,1159.0
job 6,83.0,112.0,256.0,326.0,353.0,447.0,509.0,523.0,603.0,619.0,777.0,876.0,996.0,1117.0,1155.0
job 7,0.0,69.0,235.0,323.0,326.0,531.0,688.0,738.0,776.0,884.0,913.0,1057.0,1112.0,1126.0,1197.0
job 8,0.0,150.0,277.0,341.0,388.0,474.0,698.0,828.0,897.0,922.0,963.0,1057.0,1081.0,1142.0,1201.0
job 9,0.0,78.0,82.0,117.0,264.0,313.0,376.0,476.0,532.0,630.0,702.0,720.0,743.0,867.0,1095.0
job 10,143.0,225.0,242.0,323.0,390.0,490.0,637.0,688.0,739.0,869.0,922.0,1044.0,1051.0,1105.0,1197.0
job 11,0.0,78.0,136.0,198.0,241.0,242.0,298.0,474.0,523.0,603.0,805.0,905.0,914.0,962.0,986.0
job 12,0.0,83.0,197.0,281.0,321.0,437.0,628.0,639.0,688.0,821.0,837.0,904.0,986.0,1044.0,1142.0
job 13,33.0,251.0,337.0,430.0,495.0,556.0,623.0,698.0,788.0,828.0,905.0,936.0,963.0,1059.0,1128.0
job 14,62.0,135.0,147.0,163.0,242.0,245.0,292.0,447.0,549.0,604.0,662.0,849.0,968.0,1058.0,1126.0
