criterion,8016.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time
job 0,3152.0,3958.0,4039.0,4120.0,4182.0,4262.0,4265.0,4303.0,4365.0,4419.0,4485.0,4573.0,4655.0,4658.0,4670.0
job 1,0.0,83.0,1592.0,1639.0,1664.0,1753.0,1829.0,1881.0,1899.0,1921.0,2006.0,2032.0,2062.0,2067.0,2156.0
job 2,170.0,232.0,279.0,372.0,543.0,581.0,659.0,730.0,893.0,912.0,945.0,2061.0,2178.0,2268.0,2277.0
job 3,4999.0,5032.0,5114.0,5235.0,5265.0,5361.0,5392.0,5403.0,5429.0,5470.0,5525.0,5537.0,5547.0,5639.0,5642.0
job 4,134.0,788.0,837.0,850.0,1026.0,1095.0,1167.0,1186.0,1251.0,1288.0,2132.0,2268.0,2298.0,2371.0,2460.0
job 5,6743.0,7175.0,7207.0,7360.0,7373.0,7460.0,7554.0,7590.0,7666.0,7712.0,7742.0,7798.0,7860.0,7892.0,7944.0
job 6,6714.0,6989.0,7067.0,7088.0,7115.0,7132.0,7175.0,7189.0,7204.0,7220.0,7269.0,7341.0,7360.0,7459.0,7497.0
job 7,847.0,1155.0,1345.0,1349.0,1352.0,1367.0,1429.0,1479.0,1517.0,1566.0,1591.0,1609.0,2032.0,2037.0,2156.0
job 8,4419.0,4488.0,4501.0,4573.0,4670.0,4758.0,4789.0,4886.0,4934.0,4959.0,4999.0,5093.0,5115.0,5176.0,5235.0
job 9,372.0,504.0,508.0,543.0,623.0,2164.0,2210.0,2294.0,2340.0,2436.0,2508.0,2526.0,2549.0,2645.0,2719.0
job 10,3116.0,3152.0,3169.0,3361.0,3428.0,3475.0,3480.0,3531.0,3554.0,3636.0,3671.0,3767.0,3774.0,3828.0,3920.0
job 11,426.0,730.0,788.0,850.0,893.0,894.0,950.0,1026.0,1075.0,1566.0,1592.0,1671.0,1680.0,2037.0,2061.0
job 12,6254.0,6292.0,6378.0,6416.0,6454.0,6537.0,6573.0,6584.0,6601.0,6700.0,6714.0,6771.0,6835.0,6893.0,6989.0
job 13,5032.0,5265.0,5429.0,5522.0,5585.0,5646.0,5708.0,5783.0,5873.0,5913.0,5990.0,5998.0,6025.0,6121.0,6190.0
job 14,232.0,2210.0,2460.0,2549.0,2645.0,2648.0,2742.0,2826.0,2910.0,2963.0,3021.0,3116.0,3203.0,3293.0,3361.0
