repo,paradigm,stars,python_loc,python_files,total_files,dks_total,d1_lexicon,d2_ontology,d3_cross_ont,d4_schema,d5_profiles,d6_rules,d7_multilang,d8_regulatory
infiniflow/ragflow,RAG,0,94059,407,2813,91,15,15,5,15,6,10,10,15
streamlit/streamlit,ML Framework,0,105254,541,9209,88,10,15,10,15,3,10,10,15
PaddlePaddle/PaddleNLP,LLM App,0,436063,1630,5693,86,15,15,10,15,3,3,10,15
microsoft/LoRA,DL Framework,0,349,4,1216,85,15,15,10,15,0,10,5,15
TEN-framework/ten-framework,Agentic AI,0,91695,654,30717,85,15,15,5,15,10,10,10,5
huggingface/transformers,LLM App,0,889692,2631,5766,84,15,15,5,15,3,6,10,15
apache/airflow,ML Framework,0,508670,3121,12087,81,10,10,5,15,6,10,10,15
tensorflow/tensor2tensor,RL,0,100333,320,580,81,15,15,10,10,3,3,10,15
docling-project/docling,Other/General AI,0,0,0,1166,80,5,10,10,15,10,10,5,15
microsoft/unilm,LLM App,0,494154,2762,6077,79,15,15,10,15,3,6,10,5
microsoft/graphrag,RAG,0,31328,440,913,77,10,15,5,15,6,6,10,10
LAION-AI/Open-Assistant,Chatbot,0,37931,334,1603,76,10,10,5,15,10,6,10,10
sgl-project/sglang,LLM Infra,0,497110,1518,4331,74,10,15,10,15,3,6,10,5
Comfy-Org/ComfyUI,Computer Vision,0,139565,474,802,73,15,15,10,15,3,10,5,0
crewAIInc/crewAI,Agentic AI,0,112784,765,3016,73,0,15,10,15,3,10,10,10
marimo-team/marimo,ML Framework,0,121486,774,4367,73,15,15,5,15,3,10,10,0
camel-ai/camel,Agentic AI,0,129554,498,2234,73,0,15,5,15,3,10,10,15
github/awesome-copilot,Agentic AI,0,6152,20,1895,71,15,0,10,10,10,6,5,15
Significant-Gravitas/AutoGPT,Agentic AI,0,159883,695,5048,70,5,15,10,15,10,10,5,0
pytorch/pytorch,ML Framework,0,886167,2292,21705,68,10,15,10,15,3,10,5,0
BerriAI/litellm,LLM App,0,482939,1864,7976,68,5,10,5,15,3,10,10,10
Lightning-AI/pytorch-lightning,Fine-tuning,0,45797,267,1083,68,5,5,10,15,3,10,5,15
comet-ml/opik,RAG,0,162305,1568,9604,68,5,15,5,15,3,10,10,5
vibrantlabsai/ragas,LLM App,0,29881,203,721,68,0,15,10,15,3,10,10,5
vllm-project/vllm,LLM Infra,0,480364,1491,4516,67,10,15,5,15,6,6,5,5
run-llama/llama_index,RAG,0,262123,2313,10928,67,10,15,5,15,6,6,10,0
ray-project/ray,LLM App,0,463878,2030,10265,66,10,15,5,15,6,10,5,0
emcie-co/parlant,Agentic AI,0,76432,169,793,66,15,10,5,15,3,3,0,15
microsoft/RD-Agent,Agentic AI,0,47476,461,934,66,5,15,10,15,6,10,5,0
HKUDS/DeepTutor,RAG,0,41598,225,555,66,5,15,5,15,6,10,10,0
doccano/doccano,NLP,0,0,0,860,65,0,10,0,15,10,10,5,15
explosion/spaCy,NLP,0,87676,447,1804,64,15,15,5,10,3,6,10,0
google/adk-python,Agentic AI,0,113455,829,1600,64,0,10,5,15,3,6,10,15
h2oai/h2ogpt,LLM App,0,55075,109,413,64,5,10,10,15,3,6,10,5
hiyouga/LlamaFactory,Agentic AI,0,35427,225,561,63,5,0,10,15,3,10,5,15
google/langextract,LLM App,0,9303,45,156,63,0,5,10,15,3,10,5,15
huggingface/diffusers,Computer Vision,0,456387,961,2515,63,0,15,5,10,3,10,5,15
mlflow/mlflow,Agentic AI,0,258244,1156,6604,63,5,15,5,15,3,10,10,0
onyx-dot-app/onyx,RAG,0,208614,1381,4591,63,5,15,5,15,3,10,10,0
volcengine/OpenViking,RAG,0,102111,545,1981,63,5,15,5,15,3,10,10,0
nltk/nltk,NLP,0,110963,296,542,63,15,15,10,5,3,10,5,0
mem0ai/mem0,RAG,0,44297,393,1905,62,5,15,5,15,6,6,10,0
unslothai/unsloth,Agentic AI,0,83096,195,937,61,5,10,5,15,6,10,5,5
bytedance/deer-flow,RAG,0,24228,197,814,61,0,10,5,15,6,10,10,5
gradio-app/gradio,ML Framework,0,46094,176,2992,61,5,5,10,15,6,10,10,0
hesreallyhim/awesome-claude-code,Agentic AI,0,8233,61,770,61,0,10,10,10,6,10,0,15
RasaHQ/rasa,NLP,0,65719,296,1414,61,10,15,5,10,6,10,5,0
